c_lr,cut_lr_every,epochs,eps,batch_size,hidden_dim,activation,negative_slope,proc_type,output_activation,device,beta1,beta2,lr_G,lr_D,n_D,supervised,seed,save_figs,save_iter_plot,report,results_path,plot_interval,iterations,iters,D_losses,G_losses,Wass_dist_test,KS_stat_test,D_layers,G_layers,final_lr_G,final_lr_D,total_time,train_condition,train_condition_ranges,test_condition,params_names,params,SDE,G_grad_layer_0,G_grad_layer_1,G_grad_layer_2,G_grad_layer_3,G_grad_layer_4,D_grad_layer_0,D_grad_layer_1,D_grad_layer_2,D_grad_layer_3,D_grad_layer_4,GradsG_L4,GradsD_L0,GradsD_L1,GradsD_L2,GradsD_L3,GradsD_L4
,,,,,,,,,,,,,,,,,,,,,,,78,,0.8965551853179932,1.8131359815597534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,79,,0.851462721824646,1.6744260787963867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,80,,0.8845655918121338,1.44475519657135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,81,,0.8699824810028076,1.8832664489746094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,82,,0.8741496801376343,1.7591640949249268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,83,,0.8226499557495117,1.9555034637451172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,84,,0.8544154167175293,1.9852123260498047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,85,,0.8472452759742737,1.819306492805481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,86,,0.8757052421569824,1.7418057918548584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,87,,0.826786994934082,1.4711167812347412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,88,,0.9205877780914307,1.4057177305221558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,89,,0.8440622091293335,2.0060317516326904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,90,,0.8699206113815308,1.9056446552276611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,91,,0.8749035596847534,1.8194690942764282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,92,,0.8015395402908325,1.7141669988632202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,93,,0.823628306388855,1.32015061378479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,94,,0.9339263439178467,1.1306782960891724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,95,,0.8434041738510132,2.000417709350586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,96,,0.8102502822875977,1.6748937368392944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,97,,0.8614892959594727,1.7148367166519165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,98,,0.830191969871521,1.7059048414230347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,99,,0.7911049127578735,1.6548950672149658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,100,,0.8585621118545532,0.9703262448310852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,101,,0.8014235496520996,2.2289681434631348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,102,,0.9215691089630127,1.3894368410110474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,103,,0.8044754862785339,2.028820514678955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,104,,0.8126270174980164,1.730330228805542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,105,,0.8228336572647095,1.8360077142715454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,106,,0.8266856074333191,1.8826677799224854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,107,,0.8071378469467163,1.8780101537704468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,108,,0.8057637214660645,1.766965627670288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,109,,0.8574374914169312,1.936590552330017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,110,,0.8403134346008301,1.930172324180603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,111,,0.9017975926399231,1.966871976852417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,112,,0.837730348110199,1.8506914377212524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,113,,0.860892117023468,1.8357114791870117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,114,,0.8567922711372375,1.6808079481124878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,115,,0.8667358160018921,1.418772578239441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,116,,0.8608438968658447,1.750403642654419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,117,,0.8569868206977844,1.7587969303131104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,118,,0.8257389068603516,1.8085596561431885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,119,,0.8549855947494507,1.6476250886917114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,120,,0.8630009889602661,0.9657410383224487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,121,,0.8479630947113037,2.2769761085510254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,122,,0.9183547496795654,1.6073671579360962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,123,,0.8887721300125122,1.7120410203933716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,124,,0.8886082768440247,1.8972382545471191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,125,,0.8937907814979553,1.6667752265930176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,126,,0.9344972372055054,1.7539682388305664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,127,,0.9365568161010742,1.7611113786697388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,128,,0.9263873100280762,1.8247181177139282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,129,,1.0012331008911133,1.7258731126785278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,130,,0.9616541862487793,1.7186111211776733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,131,,1.0036101341247559,1.2746663093566895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,132,,1.0204190015792847,1.4037325382232666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,133,,1.0278072357177734,1.710257887840271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,134,,1.0314223766326904,1.4593238830566406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,135,,1.011071801185608,1.2646052837371826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,136,,1.10508131980896,1.1550383567810059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,137,,1.0826624631881714,1.3181118965148926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,138,,1.0439975261688232,1.3559590578079224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,139,,1.0843513011932373,1.2961444854736328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,140,,1.0577932596206665,1.2050739526748657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,141,,1.123412847518921,0.7599694132804871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,142,,1.1478853225708008,1.4890573024749756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,143,,1.1549181938171387,0.9105099439620972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,144,,1.1340510845184326,1.3874918222427368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,145,,1.1646724939346313,1.1776468753814697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,146,,1.129441261291504,0.836481511592865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,147,,1.1522085666656494,1.1814732551574707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,148,,1.1929733753204346,1.005225419998169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,149,,1.2051892280578613,1.1208584308624268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,150,,1.2939469814300537,0.5274785161018372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,151,,1.2616033554077148,0.7932465076446533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,152,,1.2743849754333496,0.910481870174408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,153,,1.319352626800537,0.8657471537590027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
